Match_ID,Stage,Match,Logical_Score,Logical_Prob_%,Unexpected_Score,Unexpected_Prob_%
64,Group Stage,DR Congo vs Uzbekistan,0 - 0,18.32,2 - 4,0.15
65,Group Stage,DR Congo vs Colombia,0 - 0,18.04,1 - 5,0.13
66,Group Stage,Uzbekistan vs Colombia,0 - 1,14.79,2 - 5,0.14
67,Group Stage,England vs Croatia,1 - 0,16.7,1 - 4,0.12
68,Group Stage,England vs Ghana,1 - 0,19.12,5 - 2,0.15
69,Group Stage,England vs Panama,2 - 0,15.39,4 - 3,0.16
70,Group Stage,Croatia vs Ghana,1 - 0,15.4,4 - 3,0.11
71,Group Stage,Croatia vs Panama,2 - 0,11.99,7 - 1,0.11
72,Group Stage,Ghana vs Panama,1 - 0,13.58,6 - 0,0.11
73,Round of 32,Mexico vs Austria,1 - 1,14.2,4 - 3,0.1
74,Round of 32,Canada vs Scotland,1 - 0,14.6,4 - 3,0.1
75,Round of 32,Paraguay vs Iran,1 - 1,14.19,3 - 4,0.11
76,Round of 32,Ivory Coast vs Sweden,1 - 0,14.22,3 - 4,0.1
77,Round of 32,Belgium vs Morocco,0 - 1,17.66,4 - 0,0.16
78,Round of 32,Uruguay vs Senegal,0 - 0,22.42,3 - 3,0.11
79,Round of 32,Algeria vs England,0 - 1,17.35,4 - 2,0.11
80,Round of 32,Uzbekistan vs Croatia,1 - 1,13.69,4 - 3,0.12
81,Round of 32,Switzerland vs Bosnia and Herzegovina,1 - 0,15.47,0 - 4,0.12
82,Round of 32,Brazil vs Turkey,1 - 1,13.18,6 - 1,0.1
83,Round of 32,Ecuador vs Germany,0 - 1,14.62,3 - 4,0.11
84,Round of 32,Japan vs DR Congo,1 - 0,19.34,0 - 4,0.1
85,Round of 32,Spain vs South Korea,1 - 0,13.5,7 - 0,0.1
86,Round of 32,France vs United States,1 - 0,13.61,3 - 4,0.11
87,Round of 32,Portugal vs Egypt,1 - 0,17.25,4 - 3,0.1
88,Round of 32,Ghana vs Argentina,0 - 1,21.17,3 - 3,0.1
89,Round of 16,Austria vs Canada,0 - 0,15.77,5 - 1,0.12
90,Round of 16,Paraguay vs Ivory Coast,0 - 1,20.12,3 - 3,0.15
91,Round of 16,Belgium vs Senegal,0 - 0,15.74,1 - 5,0.11
92,Round of 16,Algeria vs Uzbekistan,1 - 0,16.52,4 - 3,0.11
93,Round of 16,Switzerland vs Brazil,0 - 1,13.84,1 - 6,0.1
94,Round of 16,Ecuador vs DR Congo,0 - 0,24.93,1 - 4,0.1
95,Round of 16,South Korea vs France,0 - 1,13.88,4 - 2,0.15
96,Round of 16,Portugal vs Argentina,0 - 0,16.64,4 - 2,0.13
97,Quarterfinals,Canada vs Ivory Coast,0 - 1,18.08,4 - 0,0.14
98,Quarterfinals,Belgium vs Algeria,1 - 1,14.2,4 - 3,0.1
99,Quarterfinals,Brazil vs Ecuador,0 - 0,18.53,5 - 1,0.13
100,Quarterfinals,France vs Argentina,0 - 0,16.32,1 - 5,0.12
101,Semifinals,Ivory Coast vs Algeria,0 - 0,17.07,4 - 2,0.18
102,Semifinals,Ecuador vs Argentina,0 - 1,22.64,1 - 5,0.13
103,Final,Algeria vs Argentina,0 - 1,19.11,4 - 0,0.11
